id,outbreak_data_id,covidence_id,pathogen,outbreak_duration_months,ongoing,outbreak_country,outbreak_location,outbreak_location_type,outbreak_source,pre_outbreak,cases_confirmed,cases_suspected,cases_unspecified,cases_asymptomatic,asymptomatic_transmission,cases_severe,deaths,population_size,type_cases_sex_disagg,male_cases,prop_male_cases,female_cases,prop_female_cases,outbreak_notes,cases_mode_detection,outbreak_probable,outbreak_start_day,outbreak_start_month,outbreak_start_year,outbreak_end_day,outbreak_end_month,outbreak_end_year
fda67b15a9f2f7d888322e4eb15b7409,9dfa3f35a49c34572b599195bf9051d7,186,Nipah virus,NA,FALSE,Bangladesh,Rajbari; Faridpur,districts,NA,Unspecified,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Confirmed + Suspected,NA,NA,NA,2004,NA,NA,2004
fda67b15a9f2f7d888322e4eb15b7409,68c21f90d3fbfa6b74983f6e4a106688,186,Nipah virus,NA,FALSE,Bangladesh,Unspecified 7 Districts,NA,NA,NA,NA,NA,19,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Confirmed + Suspected,NA,NA,NA,2004,NA,NA,2004
e0cc30727923fabb0dfeb107627163b6,26caf5800d159e721a99585edf817aa5,828,Nipah virus,1,FALSE,India,West Bengal,NA,Date palm sap,Unspecified,3,NA,NA,NA,FALSE,NA,5,NA,Unspecified,4,NA,1,NA,NA,Confirmed + Suspected,2,9,4,2007,28,4,2007
476771a9526c0b776b00af4e9ccc1fe3,052bba7903963012ff9f58c4d2ece717,906,Nipah virus,NA,NA,Bangladesh,Faridpur,district,Unknown,Disease-free baseline,23,13,NA,0,FALSE,NA,27,NA,NA,20,0.588,14,0.412,THE SUSPECTED CASES ARE PROBABLE! sex only available for 34/36 cases,Symptoms,NA,19,2,2004,16,4,2004
f055e759047d19cd096f3b763fbf9dad,1121578acfcda8e63a87a1f0fcce8bb5,947,Nipah virus,NA,FALSE,Bangladesh,Faridpur,district,"Date palm sap,Other",NA,5,NA,NA,NA,FALSE,NA,14,NA,Unspecified,9,0.56,NA,NA,NA,Confirmed + Suspected,11,7,1,2010,28,1,2010
d3d7f400e8ee934b230d3c5e564db422,7738b45ae33d308748c9c826267a4633,956,Nipah virus,NA,FALSE,Bangladesh,Lalmonirhat; Dinajpur; Rajbari; Rangpur,district,"Date palm sap,Other",NA,23,NA,NA,NA,FALSE,NA,38,NA,Other,30,0.7,NA,NA,NA,Confirmed + Suspected,20,23,12,2010,1,3,2011
3cee98d08dfd0d66594e986a7a0163fe,6f91b4d7c66dd08763596d8bd6c7e422,960,Nipah virus,NA,FALSE,Bangladesh,Haripur Upazila (Subdistrict) Of Thakurgaon District,NA,Unknown,Unspecified,5,2,5,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Confirmed + Suspected,NA,15,1,2007,28,2,2007
0a9ea790aa5ed3eb9f66248182ef4b6f,0f9cda3d779acef2a22cc447a672aab1,976,Nipah virus,NA,NA,Bangladesh,Sadar Upazila,sub-district,Unknown,Unspecified,3,NA,11,NA,FALSE,NA,5,NA,NA,NA,NA,NA,NA,"The team collected 13 serum samples from 19 suspect casepatients. Seven of the serum samples were collected within less than seven days of illness onset. Three of the four serum samples that were collected after 10 days of illness onset had detectable IgM and IgG Nipah virus antibodies and were identified as confirmed cases. Five (26%) of the 19 suspected case-patients, who resided in the same outbreak village and died during the outbreak period but before samples could be collected, were categorized as probable case",Confirmed + Suspected,NA,NA,3,2007,NA,4,2007
93abadd8e13530eaaa5e33371e843a78,5d6bfede8c0fc8c70041e0808ce83b32,1107,Nipah virus,NA,FALSE,"Malaysia,Singapore",NA,NA,Domestic animal,Disease-free baseline,NA,NA,246,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Not the original study to describe this outbreak, but only cites CDC's MMWR, which we wouldn't include in the review",Symptoms,NA,NA,9,1998,NA,4,1999
cbe05362bb1566e3ec75c46bf425f4ef,3021030ca8cb231e2dfcacdbca558863,1110,Nipah virus,NA,FALSE,Bangladesh,Manikgonj,district,Date palm sap,Unspecified,NA,NA,4,NA,FALSE,NA,NA,155674,NA,NA,NA,NA,NA,NA,Molecular (PCR etc),NA,6,2,2008,10,3,2008
