article_id,parameter_type,parameter_from_figure,parameter_value,parameter_lower_bound,parameter_upper_bound,inverse_param,parameter_unit,parameter_value_type,method_from_supplement,parameter_statistical,parameter_uncertainty_singe_type,parameter_uncertainty_single_value,parameter_uncertainty_type,parameter_uncertainty_lower_value,parameter_uncertainty_upper_value,distribution_type,distribution_par1_value,parameter_paired,parameter_type_2,parameter_value_2,parameter_range_low_2,parameter_range_upper_2,parameter_inverse_2,parameter_unit_2,parameter_value_type_2,parameter_supplement_2,parameter_statistical_2,parameter_unc_single_type_2,parameter_unc_single_value_2,parameter_unc_pair_type_2,parameter_unc_pair_value_low_2,parameter_unc_pair_value_up_2,distribution_par2_type,distribution_par2_value,genome_site,genomic_sequence_available,method_r,r_pathway,parameter_hd_from,other_delay_start,parameter_hd_to,other_delay_end,cfr_ifr_numerator,cfr_ifr_denominator,cfr_ifr_method,riskfactor_outcome,riskfactor_name,riskfactor_occupation,riskfactor_significant,riskfactor_adjusted,method_disaggregated,method_disaggregated_by,method_disaggregated_only,parameter_context_human,parameter_context_nonhuman,parameter_context_genotype,population_sex,population_sample_size,parameter_context_sample_type,population_sample_type,population_group,population_age_min,population_age_max,population_country,population_location,data_available ,parameter_notes,exponent,population_study_start_day,population_study_start_month,population_study_start_year,population_study_end_day,population_study_end_month,population_study_end_year,parameter_data_id,id
2,Risk factors,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Presence of Oropouche,Other,NA,Significant,Adjusted,NA,NA,NA,Human,NA,NA,Unspecified,35,NA,Population based,General population,NA,NA,"Argentina,Brazil,Ecuador,Peru",NA,Yes - as an attachment,"'Other' is 15 environmental variables including annual mean temperature (BIO1); temperature annual range (BIO7); and annual mean specific humidity, other 'MERRAclim' variables, change in vegetation coverage",0,NA,NA,2002,NA,NA,2016,3bc07df4-6bc3-4a8b-891b-5e1d8b8eaf72,c9b24c40-7120-4f99-939a-42028ffccdc6
3,Infection prevalence - PCR [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Both,30,serum,Hospital based,Other,8,63,Brazil,Tefe,Not available,NA,0,NA,4,2014,NA,6,2015,e9cb3eb6-e6d5-4150-b3c4-88759ca61715,36b26e74-cbbb-4eb1-872e-d6ac80be38cf
42,Mutations - evolutionary rate,FALSE,1.75,NA,NA,TRUE,Substitutions/site/year,Mean,No,Estimated model parameter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,segment S,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Method,Human,NA,NA,Unspecified,149,NA,Population based,Persons under investigation,NA,NA,"Brazil,Ecuador,Panama,Peru,Trinidad and Tobago",NA,Yes - on another platform,NA,-3,NA,NA,1955,NA,NA,2016,bd8ffa26-6151-42d6-815c-44a2c490f274,c441c249-f686-4c16-ba62-3b4c6f319be4
42,Mutations - evolutionary rate,FALSE,3.65,NA,NA,FALSE,Substitutions/site/year,Mean,NA,Estimated model parameter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,segment M,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Method,Human,NA,NA,Unspecified,64,NA,Population based,Persons under investigation,NA,NA,"Brazil,Ecuador,Panama,Peru,Trinidad and Tobago",NA,Yes - on another platform,NA,-4,NA,NA,1955,NA,NA,2016,5690e377-9cc1-4ae4-92d0-f909b93d0d75,c441c249-f686-4c16-ba62-3b4c6f319be4
42,Mutations - evolutionary rate,FALSE,1.64,NA,NA,FALSE,Substitutions/site/year,Mean,NA,Estimated model parameter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,segment L,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Method,Human,NA,NA,Unspecified,65,NA,Population based,Persons under investigation,NA,NA,"Brazil,Ecuador,Panama,Peru,Trinidad and Tobago",NA,Yes - on another platform,NA,-3,NA,NA,1955,NA,NA,2016,24543832-aaf3-4d76-a655-5c3f8d5ad565,c441c249-f686-4c16-ba62-3b4c6f319be4
139,Infection prevalence - PCR [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,351,Unspecified,NA,NA,NA,NA,NA,Yes,No,"Sex,Symptoms",Human,NA,NA,Both,NA,Serum,Community based,Persons with symptoms,NA,NA,Brazil,"Porto Velho, Cabixi, and Humaita",Unspecified,NA,0,NA,1,2022,NA,2,2023,239438a0-2ffd-4afb-9e59-841e700f5b59,46d703ac-94b0-4540-880b-d4ccb2824afe
139,Human delay - symptom onset>discharge/recovery,FALSE,5,1,11,FALSE,Days,Mean,NA,Observed sample statistic,Standard deviation (Sd),3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symptom Onset/Fever,NA,Symptom Resolution,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Both,27,Serum,Community based,Persons with symptoms,NA,NA,Brazil,"Porto Velho, Cabixi, and Humaita",Unspecified,range from figure,0,NA,1,2022,NA,2,2023,e98e10b4-2611-4b3e-b4a6-bdb6332419c1,46d703ac-94b0-4540-880b-d4ccb2824afe
92,Infection prevalence - PCR [Oropouche ONLY],FALSE,3.1,NA,NA,FALSE,Percentage (%),Central - unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,196,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Unspecified,196,plasma,Hospital based,Persons with symptoms,NA,NA,Ecuador,Esmeraldas city,Not available,NA,0,NA,NA,2016,NA,NA,2016,0777f490-aa95-4026-ac96-f18515489db7,ede0af19-6bd1-418d-a43b-49b252c76036
92,Infection prevalence - PCR [Oropouche ONLY],FALSE,0,NA,NA,FALSE,Percentage (%),Central - unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Unspecified,62,plasma,Hospital based,Persons with symptoms,NA,NA,Ecuador,Esmeraldas city,Unspecified,NA,0,NA,NA,2017,NA,NA,2017,f1de09a1-f4d1-4937-99b1-269daae9c13c,ede0af19-6bd1-418d-a43b-49b252c76036
93,Infection prevalence - PCR [Oropouche ONLY],FALSE,0,NA,NA,FALSE,Percentage (%),Central - unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Both,100,serum,Hospital based,Persons with symptoms,NA,NA,Paraguay,Asuncion,Unspecified,NA,0,NA,1,2018,NA,5,2018,f4d5419c-5ce6-4977-8eed-434f175cf162,3f663679-fa63-41c7-9d3d-0355efc51c68
